id,section,domain,skill,test_name,issues,text_preview
ff866f0f-f295-4895-b84d-a5c603adf51a_9,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",August 2023 Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"According to the text, how did Hooks and Ward initially meet? The groundbreaking Negro Ensemble Company (NEC), founded in 1967, produced Paul Carter Harrison's award-winning play *The Great MacDaddy* in 1974. The company"
6172d662-f820-4d74-acac-4b49873dfc8f_8,Reading and Writing,Problem-Solving and Data Analysis,Percentages,August 2023 Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, what can most reasonably be concluded about krill consumption among sei and northern right whales? Like all species of baleen whales, the sei whale feeds on tiny creatures known as krill by filtering w"
79e14849-3cb1-4f8b-8803-beaa05c64842_8,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",August 2024 International Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, which choice best expresses the narrator's characterization of the Seine? The following text is adapted from Guy de Maupassant's 1884 short story “A Recollection,” from the collection *Guy de Maupassan"
6acacde7-ed77-4956-a395-7f7392d6ba20_7,Math,Information and Ideas,Command of Evidence,August 2024 International Form A SAT Math Module 2,subject_domain_mismatch;subject_skill_mismatch,The table shows four values of * x * and their corresponding values of * y *. There is a linear relationship between * z * and * y *. Which of the following equations represents this relationship?
7f4fd473-e40f-4ce7-9e0d-4ec344fcf416_7,Reading and Writing,Algebra,Linear Functions,August 2024 International Form B SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Which choice best describes the function of the two underlined portions in the text as a whole? The following text is from Sarojini Naidu's 1896 poem \""Alabaster.\"" Like this <u>alabaster</u> box whose art Is frail as a "
7f4fd473-e40f-4ce7-9e0d-4ec344fcf416_9,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",August 2024 International Form B SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"In the text, which point does Prospero most directly make about Miranda and her memories? The following text is from William Shakespeare's play *The Tempest*, first performed in 1611. Miranda has lived on an island with "
27f42b6d-5bcd-4609-9ebb-429b11fd782b_8,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",August 2024 International Form D SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"In the text, which point does Prospero most directly make about Miranda and her memories? The following text is from William Shakespeare's play *The Tempest*, first performed in 1611. Miranda has lived on an island with "
93cf6ea9-c0fa-434a-a8d7-e6927bcedce1_11,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",August 2024 International Form D SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which finding, if true, would most directly challenge the second research team's hypothesis? Water flowing around an obstruction creates vortices (swirls) that vary in size with the obstruction's size and position, and f"
93cf6ea9-c0fa-434a-a8d7-e6927bcedce1_13,Reading and Writing,Problem-Solving and Data Analysis,Probability,August 2024 International Form D SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which finding from the study, if true, would most directly support the team's conclusion? Neurobiologists Laura Cuaya, Raúl Hernández-Pérez, and colleagues investigated the language detection abilities of eighteen dogs r"
6c4412d8-8a7a-433a-aff9-54d9d1bebc04_9,Reading and Writing,Advanced Math,Equivalent Expressions,August 2025 International Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which choice best describes what happens in the text? The following text is adapted from William Shakespeare’s 1597 play *The Tragedy of King Richard III*. Richard is reflecting on the recent arrest of his brother, the D"
6c4412d8-8a7a-433a-aff9-54d9d1bebc04_9,Reading and Writing,Advanced Math,Equivalent Expressions,August 2025 International Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which choice best describes what happens in the text? The following text is adapted from William Shakespeare’s 1597 play The Tragedy of King Richard III. Richard is reflecting on the recent arrest of his brother, the Duk"
2fb14cdb-1902-43a1-b2d1-b7bccbd22d1b_16,Math,Information and Ideas,Command of Evidence,August 2025 International Form A SAT Math Module 2,subject_domain_mismatch;subject_skill_mismatch,"The equation of the graph shown is $y=a^{x}+b$, where a and b are constants. What is the value of $a-b$?"
302c1069-d3cf-4e1c-b0bd-57e018252a85_13,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",August 2025 International Form B SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Which finding, if true, would most directly support Mulder and Spellman’s conclusion? Creeping dogwood (*Cornus canadensis*) plants are native to Alaska, where harsh conditions have historically impeded potential invasiv"
7e608cd1-45e5-4f04-99b5-d0a95eb883a6_1,Reading and Writing,Problem-Solving and Data Analysis,One-Variable Data,August 2025 International Form B SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, what does Wong most likely mean when she states that she is \""composing\""? The following text is from Alice Wong's 2022 memoir *Year of the Tiger: An Activist's Life*. Wong has just described her tende"
979898ba-60c7-4531-ac45-29c4db2b3361_16,Math,Information and Ideas,Command of Evidence,August 2025 International Form B SAT Math Module 2,subject_domain_mismatch;subject_skill_mismatch,"The equation of the graph shown is $y=a^{x}+b$, where a and b are constants. What is the value of $a-b$?"
cea66aee-3a10-4bb9-b653-46ec49321824_7,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",August 2025 US Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"According to the text, what is one way that *The Crown of Columbus* differs from most of Erdrich’s work? *Tracks* is a 1988 novel by Ojibwe writer Louise Erdrich. It explores how historical events affect families on a re"
cea66aee-3a10-4bb9-b653-46ec49321824_8,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",August 2025 US Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, what can most reasonably be inferred about Ramchand? The following text is adapted from Rupa Bajwa’s 2004 novel *The Sari Shop*. Ramchand works as an assistant in a shop in Amritsar, India. Even at ten"
cea66aee-3a10-4bb9-b653-46ec49321824_10,Reading and Writing,Problem-Solving and Data Analysis,Evaluating Statistical Claims,August 2025 US Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Which potential finding from the team’s study, if true, would most directly support the team’s conclusion? Psychologists Gregory Bryant, Dorsa Amir, and colleagues investigated cross-cultural perceptions of spontaneous ("
986a38a2-7ec7-4431-b87a-1d0c366595d6_4,Reading and Writing,Problem-Solving and Data Analysis,One-Variable Data,August 2025 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, what does Wong most likely mean when she states that she is “composing”? The following text is from Alice Wong’s 2022 memoir *Year of the Tiger: An Activist’s Life*. Wong has just described her tendenc"
986a38a2-7ec7-4431-b87a-1d0c366595d6_10,Reading and Writing,Problem-Solving and Data Analysis,Percentages,August 2025 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, what does Zucman’s research suggest about investors residing in Japan? Economist Gabriel Zucman finds that 8% of worldwide household wealth is held in tax havens (territories such as Singapore with low"
986a38a2-7ec7-4431-b87a-1d0c366595d6_12,Reading and Writing,Geometry and Trigonometry,Area and Volume,August 2025 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which statement, if true, would most strongly support Wade’s argument? In medieval England, jugglers and minstrels made livings as traveling performers, but the pieces they performed have been a mystery, thought to be lo"
986a38a2-7ec7-4431-b87a-1d0c366595d6_13,Reading and Writing,Problem-Solving and Data Analysis,Percentages,August 2025 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,Which choice most logically completes the text? The advent of online streaming has led many music listeners to drift away from ownership of music (through downloads or through physical media such as compact discs) in fav
562b97f6-c42e-48b0-9911-de9db6425784_4,Reading and Writing,Problem-Solving and Data Analysis,Percentages,August 2025 US Form B SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,Which choice best states the function of the underlined portion (while abrupt in geological terms) in the text as a whole? Fossil evidence indicates that the End-Triassic mass extinction—the relatively sudden die-off of 
562b97f6-c42e-48b0-9911-de9db6425784_6,Reading and Writing,Problem-Solving and Data Analysis,Evaluating Statistical Claims,August 2025 US Form B SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,What does the text most strongly suggest about the study conducted by Rosas-Guerrero et al.? Pollination syndromes are suites of floral traits that have independently evolved as a result of selection pressure exerted by 
562b97f6-c42e-48b0-9911-de9db6425784_7,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",August 2025 US Form B SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"What does the text most strongly suggest about how analyzing a painting with nonvisible light can inform a judgment about who that painting is attributed to? Because they penetrate the visible surface of a painting, ultr"
562b97f6-c42e-48b0-9911-de9db6425784_8,Reading and Writing,Advanced Math,Equivalent Expressions,August 2025 US Form B SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,Which statement about hummingbird preferences is most strongly supported by the text? High-reward flowers that produce nectar with relatively high sugar concentrations are thought to be especially attractive to stripe-th
562b97f6-c42e-48b0-9911-de9db6425784_26,Reading and Writing,Problem-Solving and Data Analysis,One-Variable Data,August 2025 US Form B SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Which choice completes the text with the most logical transition? At the Museum of Natural History in Washington, DC, a single specimen of the planktonic marine organism *B. pumilio* is preserved as the reference organis"
fa92720e-d9b2-485a-9313-5041b77e5352_9,Reading and Writing,Algebra,Systems of Linear Equations,August 2025 US Form B SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which choice best states the main idea of the text? Postcranial skeletal pneumaticity (PSP), a system of skeletal air sacs, occurred in three Cretaceous clades, including pterosaurs (e.g., *Pteranodon*); past studies hav"
